event_id,customer_ssn,event_type,occurred_at,measure_value,measure_unit,source_updated_at
EVT-0001,900-00-0001,USAGE,2026-01-02T10:00:00,1.25,GB,2026-01-02T13:00:00
EVT-0002,900-00-0001,SUPPORT,2026-01-03T11:00:00,2.25,MINUTES,2026-01-03T13:00:00
EVT-0003,900-00-0002,USAGE,2026-01-03T10:00:00,2.5,GB,2026-01-03T13:00:00
EVT-0004,900-00-0002,SUPPORT,2026-01-04T11:00:00,4.5,MINUTES,2026-01-04T13:00:00
EVT-0005,900-00-0003,USAGE,2026-01-04T10:00:00,3.75,GB,2026-01-04T13:00:00
EVT-0006,900-00-0003,SUPPORT,2026-01-05T11:00:00,6.75,MINUTES,2026-01-05T13:00:00
EVT-0007,900-00-0004,USAGE,2026-01-05T10:00:00,5.0,GB,2026-01-05T13:00:00
EVT-0008,900-00-0004,SUPPORT,2026-01-06T11:00:00,9.0,MINUTES,2026-01-06T13:00:00
EVT-0009,900-00-0005,USAGE,2026-01-06T10:00:00,6.25,GB,2026-01-06T13:00:00
EVT-0010,900-00-0005,SUPPORT,2026-01-07T11:00:00,11.25,MINUTES,2026-01-07T13:00:00
EVT-0011,900-00-0006,USAGE,2026-01-07T10:00:00,7.5,GB,2026-01-07T13:00:00
EVT-0012,900-00-0006,SUPPORT,2026-01-08T11:00:00,13.5,MINUTES,2026-01-08T13:00:00
EVT-0013,900-00-0007,USAGE,2026-01-08T10:00:00,8.75,GB,2026-01-08T13:00:00
EVT-0014,900-00-0007,SUPPORT,2026-01-09T11:00:00,15.75,MINUTES,2026-01-09T13:00:00
EVT-0015,900-00-0008,USAGE,2026-01-09T10:00:00,10.0,GB,2026-01-09T13:00:00
EVT-0016,900-00-0008,SUPPORT,2026-01-10T11:00:00,18.0,MINUTES,2026-01-10T13:00:00
EVT-0017,900-00-0009,USAGE,2026-01-10T10:00:00,11.25,GB,2026-01-10T13:00:00
EVT-0018,900-00-0009,SUPPORT,2026-01-11T11:00:00,20.25,MINUTES,2026-01-11T13:00:00
EVT-0019,900-00-0010,USAGE,2026-01-11T10:00:00,12.5,GB,2026-01-11T13:00:00
EVT-0020,900-00-0010,SUPPORT,2026-01-12T11:00:00,22.5,MINUTES,2026-01-12T13:00:00
EVT-0021,900-00-0011,USAGE,2026-01-12T10:00:00,13.75,GB,2026-01-12T13:00:00
EVT-0022,900-00-0011,SUPPORT,2026-01-13T11:00:00,24.75,MINUTES,2026-01-13T13:00:00
EVT-0023,900-00-0012,USAGE,2026-01-13T10:00:00,15.0,GB,2026-01-13T13:00:00
EVT-0024,900-00-0012,SUPPORT,2026-01-14T11:00:00,27.0,MINUTES,2026-01-14T13:00:00
EVT-0025,900-00-0013,USAGE,2026-01-14T10:00:00,16.25,GB,2026-01-14T13:00:00
EVT-0026,900-00-0013,SUPPORT,2026-01-15T11:00:00,29.25,MINUTES,2026-01-15T13:00:00
EVT-0027,900-00-0014,USAGE,2026-01-15T10:00:00,17.5,GB,2026-01-15T13:00:00
EVT-0028,900-00-0014,SUPPORT,2026-01-16T11:00:00,31.5,MINUTES,2026-01-16T13:00:00
EVT-0098,900-00-0098,USAGE,2026-02-20T08:00:00,9.5,GB,2026-02-20T09:00:00
EVT-0099,900-00-0199,USAGE,2026-02-20T08:00:00,9.5,GB,2026-02-20T09:00:00
