service_id,customer_ssn,service_type,installation_address_line1,installation_address_line2,installation_city,installation_postal_code,installation_country_code,is_valid,valid_from,valid_to,source_updated_at
SVC-0001-A,900-00-0001,INTERNET,201 Installation Road,,Tampere,20001,FI,True,2025-01-02,2027-12-31,2026-02-01T10:00:00
SVC-0002-A,900-00-0002,INTERNET,202 Installation Road,,Turku,20002,FI,True,2025-01-03,2027-12-31,2026-02-01T10:00:00
SVC-0003-A,900-00-0003,INTERNET,203 Installation Road,,Oulu,20003,FI,True,2025-01-04,2027-12-31,2026-02-01T10:00:00
SVC-0004-A,900-00-0004,INTERNET,204 Installation Road,,Lahti,20004,FI,True,2025-01-05,2027-12-31,2026-02-01T10:00:00
SVC-0005-A,900-00-0005,INTERNET,205 Installation Road,,Helsinki,20005,FI,True,2025-01-06,2027-12-31,2026-02-01T10:00:00
SVC-0006-A,900-00-0006,INTERNET,206 Installation Road,,Espoo,20006,FI,True,2025-01-07,2027-12-31,2026-02-01T10:00:00
SVC-0007-A,900-00-0007,INTERNET,207 Installation Road,,Vantaa,20007,FI,True,2025-01-08,2027-12-31,2026-02-01T10:00:00
SVC-0008-A,900-00-0008,INTERNET,208 Installation Road,,Tampere,20008,FI,True,2025-01-09,2027-12-31,2026-02-01T10:00:00
SVC-0009-A,900-00-0009,INTERNET,209 Installation Road,,Turku,20009,FI,True,2025-01-10,2027-12-31,2026-02-01T10:00:00
SVC-0010-A,900-00-0010,INTERNET,210 Installation Road,,Oulu,20010,FI,True,2025-01-11,2027-12-31,2026-02-01T10:00:00
SVC-0011-A,900-00-0011,INTERNET,211 Installation Road,,Lahti,20011,FI,True,2025-01-12,2027-12-31,2026-02-01T10:00:00
SVC-0012-A,900-00-0012,INTERNET,212 Installation Road,,Helsinki,20012,FI,True,2025-01-13,2027-12-31,2026-02-01T10:00:00
SVC-0013-A,900-00-0013,INTERNET,213 Installation Road,,Espoo,20013,FI,True,2025-01-14,2027-12-31,2026-02-01T10:00:00
SVC-0014-A,900-00-0014,INTERNET,214 Installation Road,,Vantaa,20014,FI,True,2025-01-15,2024-12-31,2026-02-01T10:00:00
SVC-0001-B,900-00-0001,MOBILE,201 Installation Road,Unit B,Tampere,20001,FI,True,2025-01-02,2027-12-31,2026-02-01T10:00:00
SVC-0002-B,900-00-0002,MOBILE,202 Installation Road,Unit B,Turku,20002,FI,True,2025-01-03,2027-12-31,2026-02-01T10:00:00
SVC-0003-B,900-00-0003,MOBILE,203 Installation Road,Unit B,Oulu,20003,FI,True,2025-01-04,2027-12-31,2026-02-01T10:00:00
SVC-0013-B,900-00-0013,MOBILE,213 Installation Road,Unit B,Espoo,20013,FI,False,2025-01-14,2027-12-31,2026-02-01T10:00:00
SVC-0098-A,900-00-0098,INTERNET,298 Installation Road,,Vantaa,20098,FI,True,2025-04-09,2027-12-31,2026-02-01T10:00:00
SVC-0099-A,900-00-0199,INTERNET,299 Installation Road,,Tampere,20099,FI,True,2025-04-10,2027-12-31,2026-02-01T10:00:00
