invoice_id,customer_ssn,service_id,amount,currency_code,issued_date,due_date,is_paid,paid_at,is_due,source_updated_at
INV-0001,900-00-0001,SVC-0001-A,49.25,EUR,2026-01-01,2026-01-31,True,2026-01-11,False,2026-02-28T18:00:00
INV-0002,900-00-0001,SVC-0001-A,50.25,EUR,2026-01-01,2026-01-31,False,,True,2026-02-28T18:00:00
INV-0003,900-00-0002,SVC-0002-A,52.5,EUR,2026-01-02,2026-02-01,True,2026-01-12,False,2026-02-28T18:00:00
INV-0004,900-00-0002,SVC-0002-A,53.5,EUR,2026-02-02,2026-03-04,False,,False,2026-02-28T18:00:00
INV-0005,900-00-0003,SVC-0003-A,55.75,EUR,2026-01-03,2026-02-02,True,2026-01-13,False,2026-02-28T18:00:00
INV-0006,900-00-0003,SVC-0003-A,56.75,EUR,2026-02-03,2026-03-05,False,,False,2026-02-28T18:00:00
INV-0007,900-00-0004,SVC-0004-A,59.0,EUR,2026-01-04,2026-02-03,True,2026-01-14,False,2026-02-28T18:00:00
INV-0008,900-00-0004,SVC-0004-A,60.0,EUR,2026-02-04,2026-03-06,True,2026-02-14,False,2026-02-28T18:00:00
INV-0009,900-00-0005,SVC-0005-A,62.25,EUR,2026-01-05,2026-02-04,True,2026-01-15,False,2026-02-28T18:00:00
INV-0010,900-00-0005,SVC-0005-A,63.25,EUR,2026-02-05,2026-03-07,False,,False,2026-02-28T18:00:00
INV-0011,900-00-0006,SVC-0006-A,65.5,EUR,2026-01-06,2026-02-05,True,2026-01-16,False,2026-02-28T18:00:00
INV-0012,900-00-0006,SVC-0006-A,66.5,EUR,2026-02-06,2026-03-08,False,,False,2026-02-28T18:00:00
INV-0013,900-00-0007,SVC-0007-A,68.75,EUR,2026-01-07,2026-02-06,True,2026-01-17,False,2026-02-28T18:00:00
INV-0014,900-00-0007,SVC-0007-A,69.75,EUR,2026-02-07,2026-03-09,False,,False,2026-02-28T18:00:00
INV-0015,900-00-0008,SVC-0008-A,72.0,EUR,2026-01-08,2026-02-07,True,2026-01-18,False,2026-02-28T18:00:00
INV-0016,900-00-0008,SVC-0008-A,73.0,EUR,2026-02-08,2026-03-10,True,2026-02-18,False,2026-02-28T18:00:00
INV-0017,900-00-0009,SVC-0009-A,75.25,EUR,2026-01-09,2026-02-08,True,2026-01-19,False,2026-02-28T18:00:00
INV-0018,900-00-0009,SVC-0009-A,76.25,EUR,2026-02-09,2026-03-11,False,,False,2026-02-28T18:00:00
INV-0019,900-00-0010,SVC-0010-A,78.5,EUR,2026-01-10,2026-02-09,True,2026-01-20,False,2026-02-28T18:00:00
INV-0020,900-00-0010,SVC-0010-A,79.5,EUR,2026-02-10,2026-03-12,False,,False,2026-02-28T18:00:00
INV-0021,900-00-0011,SVC-0011-A,81.75,EUR,2026-01-11,2026-02-10,True,2026-01-21,False,2026-02-28T18:00:00
INV-0022,900-00-0011,SVC-0011-A,82.75,EUR,2026-02-11,2026-03-13,False,,False,2026-02-28T18:00:00
INV-0023,900-00-0012,SVC-0012-A,85.0,EUR,2026-01-12,2026-02-11,True,2026-01-22,False,2026-02-28T18:00:00
INV-0024,900-00-0012,SVC-0012-A,86.0,EUR,2026-02-12,2026-03-14,True,2026-02-22,False,2026-02-28T18:00:00
INV-0025,900-00-0013,SVC-0013-A,88.25,EUR,2026-01-13,2026-02-12,True,2026-01-23,False,2026-02-28T18:00:00
INV-0026,900-00-0013,SVC-0013-A,89.25,EUR,2026-02-13,2026-03-15,False,2026-02-18,False,2026-02-28T18:00:00
INV-0027,900-00-0014,SVC-0014-A,91.5,EUR,2026-01-14,2026-02-13,True,2026-01-24,False,2026-02-28T18:00:00
INV-0028,900-00-0014,SVC-0014-A,92.5,EUR,2026-02-14,2026-03-16,False,,False,2026-02-28T18:00:00
INV-0101,900-00-0012,SVC-0012-A,88.0,EUR,2026-01-05,2026-02-04,True,,False,2026-02-28T18:00:00
INV-0102,900-00-0011,SVC-0011-A,77.0,EUR,2026-02-10,2026-02-01,False,,True,2026-02-28T18:00:00
INV-0103,900-00-0010,SVC-0010-A,66.0,EUR,2026-01-10,2026-02-09,True,2026-01-05,False,2026-02-28T18:00:00
INV-0104,900-00-0001,SVC-0002-A,55.0,EUR,2026-01-10,2026-02-09,False,,True,2026-02-28T18:00:00
INV-0105,900-00-0001,SVC-7777-A,44.0,EUR,2026-01-10,2026-02-09,False,,True,2026-02-28T18:00:00
INV-0106,900-00-0001,SVC-0001-A,33.0,EUR,2028-01-05,2028-02-04,False,,False,2026-02-28T18:00:00
INV-0107,900-00-0001,SVC-0099-A,22.0,EUR,2026-01-10,2026-02-09,False,,True,2026-02-28T18:00:00
INV-0098,900-00-0098,SVC-0098-A,99.0,EUR,2026-02-01,2026-03-03,False,,False,2026-02-28T18:00:00
INV-0099,900-00-0199,SVC-0099-A,99.0,EUR,2026-02-01,2026-03-03,False,,False,2026-02-28T18:00:00
